Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
OTOMOTİVE,40,72725.15,0.18,0.46,0.64,0.03,0.97,0.11,AZ
BEYAZ EŞYA,52,62099.06,0.32,0.70,0.43,0.23,0.77,0.53,AZ
BEYAZ EŞYA,42.7,60453.13,0.40,0.33,0.00,0.14,0.86,0.21,AZ
MOBİLYA,48.7,60635.66,0.27,0.07,0.96,0.88,0.12,0.88,AZ
DİĞER,47.2,65549.36,0.04,0.46,0.70,0.83,0.17,0.22,AZ
OTOMOTİVE,59.2,64495.78,0.45,0.58,0.43,0.77,0.23,0.25,AZ
BEYAZ EŞYA,41.6,55091.49,0.37,0.14,0.49,0.90,0.10,0.38,AZ
OTOMOTİVE,26.7,63505.81,0.27,0.36,0.99,0.12,0.88,0.79,AZ
BEYAZ EŞYA,45,62375.37,0.33,0.33,0.91,0.43,0.57,0.90,AZ
BEYAZ EŞYA,34.8,66205.17,0.25,0.30,0.49,0.79,0.21,0.10,AZ
BEYAZ EŞYA,44.4,63933.96,0.29,0.54,0.68,0.60,0.40,0.47,AZ
OTOMOTİVE,42.4,59104.44,0.51,0.41,0.37,0.29,0.71,0.99,AZ
GİYİM,57.4,61733.15,0.29,0.12,0.33,0.35,0.65,0.71,AZ
MOBİLYA,47.9,44780.85,0.36,0.89,0.87,0.74,0.26,0.22,AZ
DİĞER,35.6,67055.49,0.31,0.06,0.42,0.34,0.66,0.46,AZ
BEYAZ EŞYA,43.6,56709.25,0.11,0.90,0.86,0.15,0.85,0.84,AZ
GİYİM,34.5,62641.98,0.31,0.82,0.41,0.11,0.89,0.49,AZ
MOBİLYA,38.1,65956.7,0.38,0.56,0.03,0.72,0.28,0.11,AZ
GİYİM,56.7,68707.92,0.34,0.98,0.17,0.83,0.17,0.94,AZ
DİĞER,55.8,70476.81,0.26,0.33,0.90,0.77,0.23,0.11,AZ
GIDA,63.4,68303.1,0.26,0.71,0.92,0.82,0.18,0.71,AZ
GİYİM,40.5,58232.67,0.51,0.22,0.48,0.83,0.17,0.94,AZ
GİYİM,47.4,63752.05,0.45,0.96,0.44,0.06,0.94,0.96,AZ
GIDA,26,58483.3,0.39,0.83,0.74,0.18,0.82,0.84,AZ
OTOMOTİVE,36.5,64845.54,0.40,0.49,0.68,0.16,0.84,0.60,AZ
DİĞER,37,61166.74,0.31,0.84,0.05,0.29,0.71,0.06,AZ
GİYİM,27.6,67919.19,0.35,0.32,0.66,0.99,0.01,0.32,AZ
BEYAZ EŞYA,34.6,59271.64,0.47,0.80,0.37,0.14,0.86,0.24,AZ
GİYİM,43.1,53925.39,0.24,0.58,0.83,0.01,0.99,0.24,AZ
MOBİLYA,39.5,42918.67,0.33,0.74,0.57,0.47,0.53,0.09,AZ
GIDA,32.3,59249.76,0.39,0.64,0.78,0.73,0.27,0.57,AZ
MOBİLYA,41.3,65265.87,0.46,0.11,0.18,0.41,0.59,0.56,AZ
GİYİM,33.5,56442.37,0.27,0.27,0.80,0.72,0.28,0.87,AZ
GIDA,59.7,68439.73,0.36,0.02,0.56,0.53,0.47,0.60,AZ
OTOMOTİVE,44.4,50454.36,0.32,0.86,0.18,0.49,0.51,0.45,AZ
DİĞER,42.7,71287.29,0.42,0.84,0.03,0.07,0.93,0.51,AZ
DİĞER,52,64883.43,0.49,0.33,0.63,0.86,0.14,0.99,AZ
MOBİLYA,45.8,70550.45,0.29,0.38,0.48,0.69,0.31,0.00,AZ
DİĞER,54.8,72184.25,0.46,0.31,0.47,0.26,0.74,0.04,AZ
BEYAZ EŞYA,32.3,68136.93,0.37,0.06,0.58,0.63,0.37,1.00,AZ
MOBİLYA,52,72138.42,0.43,0.74,0.50,0.07,0.93,0.95,AZ
OTOMOTİVE,44.3,56610.05,0.24,0.45,0.70,0.12,0.88,0.97,AZ
OTOMOTİVE,54.8,55501.47,0.35,0.73,0.36,0.22,0.78,0.94,AZ
GIDA,54.2,52778.8,0.35,0.81,0.33,0.51,0.49,0.13,AZ
OTOMOTİVE,52.2,59071.58,0.37,0.69,0.44,0.86,0.14,0.88,AZ
OTOMOTİVE,44.2,54886.99,0.33,0.51,0.44,0.26,0.74,0.80,AZ
GIDA,47.2,64131.96,0.25,0.70,0.90,0.16,0.84,0.94,AZ
GİYİM,47.8,65806.64,0.29,0.69,0.78,0.67,0.33,0.19,AZ
DİĞER,44.6,67642.36,0.30,0.85,0.43,0.37,0.63,0.67,AZ
GIDA,34.4,62632.91,0.39,0.05,0.22,0.49,0.51,0.25,AZ
DİĞER,28.3,44114.77,0.48,0.14,0.04,0.69,0.31,0.75,AZ
DİĞER,35.7,62593.38,0.42,0.84,0.62,0.36,0.64,0.73,AZ
MOBİLYA,46.8,62275.54,0.42,0.95,0.15,0.16,0.84,0.82,AZ
DİĞER,40.9,51837.45,0.31,0.47,0.07,0.49,0.51,0.72,AZ
BEYAZ EŞYA,38,69734.39,0.37,0.11,0.78,0.21,0.79,0.08,AZ
OTOMOTİVE,68.3,72269.11,0.48,0.23,0.40,0.81,0.19,0.41,AZ
OTOMOTİVE,25,57518.64,0.22,0.01,0.97,0.69,0.31,0.33,AZ
GIDA,32.6,70766.86,0.36,0.31,0.96,0.18,0.82,0.62,AZ
BEYAZ EŞYA,39.6,67946.34,0.39,0.26,0.42,0.61,0.39,0.58,AZ
MOBİLYA,30.4,70102.39,0.16,0.40,0.74,0.80,0.20,0.43,AZ
OTOMOTİVE,46,57379.74,0.51,0.49,0.11,0.46,0.54,0.36,AZ
DİĞER,38,46520.06,0.36,0.08,0.03,0.07,0.93,0.17,AZ
DİĞER,35.4,71132.55,0.38,0.22,1.00,0.59,0.41,0.78,AZ
BEYAZ EŞYA,38.2,59136.89,0.34,0.93,0.54,0.65,0.35,0.05,AZ
DİĞER,47.6,50735.73,0.33,0.98,0.78,0.87,0.13,0.88,AZ
MOBİLYA,37.8,55323.27,0.21,0.33,0.56,0.42,0.58,0.86,AZ
BEYAZ EŞYA,31.9,67248.86,0.54,0.52,0.13,0.88,0.12,0.89,AZ
DİĞER,19.2,60577.54,0.25,0.76,0.42,0.49,0.51,0.78,AZ
OTOMOTİVE,33.8,65222.94,0.27,0.53,0.73,0.53,0.47,0.63,AZ
OTOMOTİVE,60.8,66432.43,0.49,0.20,0.71,0.34,0.66,0.15,AZ
GİYİM,36.2,69471.52,0.50,0.57,0.21,0.68,0.32,0.46,AZ
BEYAZ EŞYA,53.4,53824.31,0.43,0.05,0.71,0.70,0.30,0.22,AZ
GIDA,48.6,65920.95,0.40,0.55,0.21,0.67,0.33,0.60,AZ
OTOMOTİVE,62.6,68812.84,0.28,0.99,0.08,0.58,0.42,0.51,AZ
BEYAZ EŞYA,33.6,65844.91,0.27,0.41,0.89,0.13,0.87,0.15,AZ
DİĞER,47.3,46990.77,0.42,0.07,0.82,0.98,0.02,0.49,AZ
GIDA,50.1,57184.76,0.24,0.51,0.93,0.84,0.16,0.81,AZ
OTOMOTİVE,40.4,48624.94,0.32,0.69,0.78,0.64,0.36,0.01,AZ
DİĞER,44.2,54439.64,0.30,0.10,0.06,0.08,0.92,0.39,AZ
GİYİM,28.3,67115.47,0.28,0.65,0.59,0.95,0.05,0.17,AZ
DİĞER,59.1,69898.69,0.46,0.80,0.63,0.29,0.71,0.66,AZ
GIDA,37.1,65809.04,0.21,0.53,0.92,0.68,0.32,0.07,AZ
GIDA,40.5,61183.79,0.34,0.46,0.99,0.80,0.20,0.51,AZ
BEYAZ EŞYA,59.2,60907.13,0.46,0.09,0.04,0.21,0.79,0.57,AZ
GİYİM,37.5,71002.12,0.43,0.54,0.57,0.15,0.85,0.38,AZ
MOBİLYA,33.8,58286.35,0.25,0.42,0.13,0.30,0.70,0.02,AZ
GIDA,56.3,61329.57,0.19,0.75,0.08,0.81,0.19,0.28,AZ
DİĞER,37.7,45631.69,0.25,0.11,0.37,0.26,0.74,0.88,AZ
OTOMOTİVE,36.6,62290.73,0.42,0.10,0.21,0.40,0.60,0.09,AZ
BEYAZ EŞYA,41.7,57455.88,0.37,0.36,0.95,0.27,0.73,0.05,AZ
OTOMOTİVE,54.4,65165.11,0.43,0.97,0.47,0.53,0.47,0.26,AZ
GIDA,48,59473.61,0.28,0.31,0.06,0.77,0.23,0.68,AZ
DİĞER,21.1,61671.13,0.56,0.05,0.78,0.83,0.17,0.63,AZ
OTOMOTİVE,47.8,71513.26,0.49,0.95,0.02,0.11,0.89,0.88,AZ
OTOMOTİVE,47.8,60755.29,0.32,0.69,0.51,0.74,0.26,0.95,AZ
BEYAZ EŞYA,46.7,63475.98,0.37,0.65,0.86,0.34,0.66,0.10,AZ
OTOMOTİVE,54.9,52355.54,0.28,0.45,0.10,0.31,0.69,0.19,AZ
MOBİLYA,48.6,56765.69,0.41,0.45,0.66,0.96,0.04,0.05,AZ
OTOMOTİVE,39,54854.78,0.27,0.66,0.03,0.71,0.29,0.43,AZ
OTOMOTİVE,34.9,54560.32,0.28,0.75,0.88,0.04,0.96,0.74,AZ
BEYAZ EŞYA,44.9,53388.33,0.47,0.01,0.63,0.22,0.78,0.26,AZ
GIDA,34.2,60533.51,0.42,0.06,0.60,0.55,0.45,0.06,AZ
GIDA,37.7,59157.56,0.42,0.96,0.75,0.52,0.48,0.79,AZ
MOBİLYA,38.4,57941.92,0.39,0.07,0.96,0.35,0.65,0.09,AZ
BEYAZ EŞYA,50.3,50999.54,0.43,0.18,0.45,0.69,0.31,0.28,AZ
DİĞER,42.7,57705.42,0.23,0.69,0.85,0.05,0.95,0.06,AZ
DİĞER,54.3,67247.81,0.30,1.00,0.27,0.53,0.47,0.49,AZ
OTOMOTİVE,26.7,59587.47,0.34,0.33,0.72,0.56,0.44,0.82,AZ
OTOMOTİVE,40,68345.99,0.38,0.97,0.12,0.72,0.28,0.50,AZ
OTOMOTİVE,52.8,66827.57,0.38,0.74,0.55,0.66,0.34,0.03,AZ
GİYİM,37.1,50249.32,0.48,0.11,0.46,0.20,0.80,0.64,AZ
BEYAZ EŞYA,51.4,64271.58,0.22,0.38,0.48,0.22,0.78,0.72,AZ
BEYAZ EŞYA,39.6,51166.28,0.22,0.88,0.96,0.60,0.40,0.98,AZ
GİYİM,50.9,59009.72,0.26,0.51,0.50,0.35,0.65,0.34,AZ
DİĞER,52.6,57266.13,0.33,0.32,0.24,0.45,0.55,0.42,AZ
GİYİM,52.1,64651.51,0.14,1.00,0.69,0.28,0.72,0.78,AZ
DİĞER,47.5,62471.33,0.42,0.31,0.77,0.42,0.58,0.60,AZ
MOBİLYA,33.8,54397.05,0.43,0.37,0.54,1.00,0.00,0.12,AZ
DİĞER,43.8,62966.52,0.49,0.64,0.63,0.02,0.98,0.13,AZ
DİĞER,42.7,58329.97,0.31,0.29,0.91,0.54,0.46,0.59,AZ
BEYAZ EŞYA,51.5,57308.23,0.47,0.85,0.01,0.52,0.48,0.72,AZ
OTOMOTİVE,37.6,61476.49,0.23,0.55,0.25,0.52,0.48,0.49,AZ
DİĞER,72.8,50811.71,0.39,0.44,0.40,0.37,0.63,0.90,AZ
GIDA,40.1,49997.48,0.25,0.08,0.98,0.96,0.04,0.70,AZ
GIDA,52.1,57523.36,0.33,0.22,0.34,0.52,0.48,0.77,AZ
GIDA,45.4,61673.56,0.28,0.53,0.47,0.91,0.09,0.89,AZ
GIDA,23.4,65380.77,0.54,0.61,0.84,0.20,0.80,0.89,AZ
GIDA,53.9,55463.06,0.33,0.73,0.26,0.44,0.56,0.89,AZ
BEYAZ EŞYA,47,71576.32,0.28,0.17,0.28,0.30,0.70,0.93,AZ
OTOMOTİVE,41.7,54667.38,0.39,0.82,0.27,0.39,0.61,0.62,AZ
OTOMOTİVE,57.5,70027.73,0.24,0.40,0.68,0.67,0.33,0.86,AZ
DİĞER,48.8,61722.42,0.40,0.45,0.47,0.78,0.22,0.85,AZ
GIDA,51.3,65275.1,0.45,0.97,0.97,0.60,0.40,0.19,AZ
MOBİLYA,41.7,60154.94,0.27,0.83,0.95,0.46,0.54,0.68,AZ
MOBİLYA,39.9,57699.49,0.12,0.64,0.96,0.07,0.93,0.49,AZ
MOBİLYA,35,67106.36,0.50,0.62,0.15,0.10,0.90,0.86,AZ
MOBİLYA,30.2,58240.84,0.39,0.12,0.72,0.08,0.92,0.18,AZ
MOBİLYA,42.3,55763.49,0.40,0.05,0.06,0.26,0.74,0.42,AZ
GIDA,48.3,56590.83,0.40,0.20,0.49,0.74,0.26,0.64,AZ
GİYİM,40.9,71222.39,0.23,0.67,0.32,0.20,0.80,0.53,AZ
GİYİM,47.8,61911.62,0.36,0.82,0.99,0.67,0.33,0.24,AZ
MOBİLYA,44.8,47486.15,0.37,0.05,0.50,0.35,0.65,0.49,AZ
GIDA,36.1,62674.26,0.33,0.98,0.60,0.13,0.87,0.77,AZ
GİYİM,50.1,66429.21,0.36,0.76,0.05,0.43,0.57,0.34,AZ
OTOMOTİVE,40.7,56709.11,0.57,0.17,0.78,0.47,0.53,0.99,AZ
MOBİLYA,36.6,69936.51,0.27,0.89,0.78,0.98,0.02,0.20,AZ
BEYAZ EŞYA,35.4,52391.08,0.26,0.22,0.00,0.63,0.37,0.42,AZ
GİYİM,42,65965.67,0.46,0.63,0.53,0.53,0.47,0.79,AZ
BEYAZ EŞYA,24,64284.19,0.44,0.83,0.06,0.61,0.39,0.15,AZ
MOBİLYA,38.8,60164.51,0.31,0.26,0.67,0.11,0.89,0.20,AZ
BEYAZ EŞYA,42.1,70434.27,0.52,0.31,0.14,0.94,0.06,0.70,AZ
OTOMOTİVE,21.6,61060.45,0.47,0.69,0.45,0.96,0.04,0.54,AZ
BEYAZ EŞYA,53.8,64367.75,0.43,0.21,0.80,0.76,0.24,0.92,AZ
GIDA,48.2,52995.74,0.44,0.03,0.20,0.79,0.21,0.78,AZ
MOBİLYA,52,62237.09,0.30,0.34,0.53,0.46,0.54,0.75,AZ
BEYAZ EŞYA,33,62648.45,0.40,0.85,0.93,0.53,0.47,0.13,AZ
OTOMOTİVE,50.2,71667.73,0.61,0.03,0.81,0.37,0.63,0.85,AZ
BEYAZ EŞYA,37.1,52575.76,0.46,0.76,0.83,0.90,0.10,0.27,AZ
OTOMOTİVE,41.8,71568.7,0.48,0.55,0.89,0.25,0.75,0.19,AZ
GIDA,46.8,64360.34,0.25,0.44,0.91,0.27,0.73,0.36,AZ
DİĞER,52.7,63878.69,0.45,0.62,0.01,0.21,0.79,0.66,AZ
MOBİLYA,45.5,64542.42,0.21,0.45,0.48,0.50,0.50,0.93,AZ
BEYAZ EŞYA,43.3,47177.55,0.53,0.19,0.06,0.34,0.66,0.89,AZ
GİYİM,46.6,68270.39,0.42,0.16,0.02,0.64,0.36,0.57,AZ
BEYAZ EŞYA,48.2,67649.24,0.40,0.66,0.49,0.53,0.47,0.44,AZ
DİĞER,49.7,58439.19,0.31,0.57,0.10,0.08,0.92,0.26,AZ
DİĞER,46.4,50708.95,0.12,0.84,0.56,0.50,0.50,0.22,AZ
OTOMOTİVE,33,66071.59,0.20,0.96,0.38,0.65,0.35,0.65,AZ
GIDA,50.6,53095.26,0.49,0.89,0.76,0.71,0.29,0.99,AZ
OTOMOTİVE,42.7,56664.98,0.37,0.48,0.93,0.67,0.33,0.35,AZ
GİYİM,31.5,58626.17,0.32,0.04,0.93,0.56,0.44,0.87,AZ
MOBİLYA,43.4,71832,0.36,0.31,0.40,0.09,0.91,0.44,AZ
GIDA,49.1,67186.49,0.40,0.84,0.95,0.35,0.65,0.53,AZ
GIDA,50.1,66907.37,0.38,0.77,0.10,0.85,0.15,0.79,AZ
GIDA,47.1,68774.58,0.33,0.61,0.81,0.91,0.09,0.63,AZ
MOBİLYA,60.4,63668.03,0.36,0.17,0.18,0.57,0.43,0.47,AZ
OTOMOTİVE,64.5,56636.66,0.19,0.64,0.50,0.12,0.88,0.37,AZ
GIDA,43.1,62637.61,0.48,0.71,0.94,1.00,0.00,0.55,AZ
BEYAZ EŞYA,38.8,68158.94,0.26,0.60,0.04,0.94,0.06,0.27,AZ
BEYAZ EŞYA,32,50490.09,0.29,0.34,0.70,0.07,0.93,0.29,AZ
DİĞER,41.8,59723.97,0.37,0.95,0.68,0.17,0.83,0.58,AZ
DİĞER,58.7,53954.05,0.44,0.06,0.48,0.71,0.29,0.65,AZ
BEYAZ EŞYA,63.6,61487.95,0.26,0.49,0.16,0.76,0.24,0.31,AZ
GIDA,25.7,71516.81,0.39,0.98,0.95,0.43,0.57,0.19,AZ
DİĞER,53,64999.38,0.32,0.77,0.54,0.36,0.64,0.12,AZ
BEYAZ EŞYA,53.7,62859.22,0.29,0.29,0.27,0.60,0.40,0.27,AZ
OTOMOTİVE,55.2,59933.12,0.40,0.69,0.13,0.84,0.16,0.62,AZ
BEYAZ EŞYA,45.7,62819.98,0.13,0.16,0.15,0.00,1.00,0.40,AZ
GİYİM,34,51785.76,0.44,0.79,0.19,0.48,0.52,0.10,AZ
BEYAZ EŞYA,54.7,59476.94,0.49,0.75,0.41,0.20,0.80,0.11,AZ
GİYİM,55.4,51810.85,0.29,0.25,0.84,0.55,0.45,0.23,AZ
GIDA,41.9,54221.47,0.24,0.01,0.10,0.58,0.42,0.98,AZ
BEYAZ EŞYA,48.6,61900.57,0.49,0.73,0.29,0.22,0.78,0.85,AZ
GIDA,26.4,59456.02,0.41,0.13,0.06,0.02,0.98,0.45,AZ
GIDA,44.7,62228.82,0.17,0.51,0.06,0.77,0.23,0.88,AZ
MOBİLYA,50.2,58188.76,0.17,0.85,0.90,0.02,0.98,0.61,AZ
OTOMOTİVE,46,49731.44,0.20,0.47,0.14,0.37,0.63,0.94,AZ
GİYİM,42.9,61169.67,0.23,0.49,0.71,0.45,0.55,0.33,AZ
BEYAZ EŞYA,46.2,68787.63,0.48,0.62,0.22,0.94,0.06,0.56,AZ
GIDA,32.2,61876.87,0.47,0.03,0.13,0.62,0.38,0.39,AZ
GIDA,47.7,60227.85,0.29,0.08,0.89,0.26,0.74,0.23,AZ
GİYİM,27.7,59335.29,0.28,0.01,0.66,0.20,0.80,0.15,AZ
GIDA,60.5,55028.59,0.32,0.49,0.46,0.63,0.37,0.79,AZ
DİĞER,57.2,61364.69,0.36,0.72,0.17,0.82,0.18,0.45,AZ
BEYAZ EŞYA,37.1,66585.51,0.33,0.03,0.38,0.14,0.86,0.62,AZ
GİYİM,46.2,61347.72,0.51,0.51,0.45,0.24,0.76,0.51,AZ
DİĞER,49.7,67313.33,0.33,0.03,0.20,0.25,0.75,0.75,AZ
OTOMOTİVE,54.7,64967.51,0.33,0.75,0.81,0.30,0.70,0.14,AZ
DİĞER,45.9,61559.24,0.36,0.34,0.18,0.39,0.61,0.95,AZ
GİYİM,36.4,55703.69,0.28,0.94,0.83,0.45,0.55,0.96,AZ
OTOMOTİVE,36.3,57524.45,0.43,0.88,0.71,0.71,0.29,0.57,AZ
DİĞER,39.5,49473.44,0.33,0.53,0.35,0.08,0.92,0.84,AZ
OTOMOTİVE,35,46465.17,0.35,0.87,0.22,0.76,0.24,0.78,AZ
BEYAZ EŞYA,34.7,64300.91,0.51,0.36,0.68,0.32,0.68,0.55,AZ
GİYİM,33.2,64738.85,0.46,0.50,0.02,0.25,0.75,0.55,AZ
GİYİM,37.7,71461.62,0.35,0.33,0.78,0.34,0.66,0.98,AZ
BEYAZ EŞYA,44.1,68202.3,0.35,0.33,0.16,0.03,0.97,0.04,AZ
GIDA,51.6,59532.94,0.38,0.03,0.23,0.33,0.67,0.46,AZ
BEYAZ EŞYA,46,58285.7,0.37,0.98,0.61,0.18,0.82,0.37,AZ
OTOMOTİVE,32.6,66848.06,0.32,0.23,0.78,0.04,0.96,0.23,AZ
OTOMOTİVE,40.8,69711.1,0.23,0.60,0.05,0.65,0.35,1.00,AZ
DİĞER,38.8,56195.16,0.37,0.37,0.08,0.82,0.18,0.20,AZ
DİĞER,49.3,57392.91,0.49,0.75,0.69,0.97,0.03,0.30,AZ
DİĞER,39.1,59349.37,0.42,0.90,0.04,0.79,0.21,0.03,AZ
OTOMOTİVE,31.2,48666.03,0.42,1.00,0.95,0.05,0.95,0.11,AZ
GIDA,43.1,69946.74,0.50,0.64,0.56,0.73,0.27,0.63,AZ
GİYİM,48.8,70330.69,0.13,0.24,0.24,0.60,0.40,0.44,AZ
GİYİM,45.8,53486.35,0.26,0.83,0.34,0.42,0.58,0.92,AZ
GİYİM,24.9,58569.3,0.35,0.93,0.09,0.07,0.93,0.70,AZ
